GA;GB;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;G20;G21
1903;Межрайонная инспекция Федеральной налоговой службы №3 по Республике Хакасия;,655158,Хакасия Республика,,Черногорск г,,Космонавтов пр,1в,,;(39031) 3-00-00;Код ОКПО:71518723, Прием налогоплательщиков в операционных залах осуществляется без перерыва на обед:- понедельник, среда с 9.00 до 18.00,- вторник, четверг с 9.00 до 20.00,- пятница с 9.00 до 16.45,- 3 и 4 суббота месяца с 10.00 до 15.00.;Управление Федерального казначейства по Республике Хакасия;95615000,95615404,95615410,95615415,95615420,95615430,95615440,95615445,95615450,95615455,95615460,95620000,95620403,95620405,95620420,95620425,95620430,95620435,95620437,95620440,95620450,95630000,95630151,95630405,95630410,95630415,95630425,95630430,95630435,95630440,95630445,95630455,95630460,95630465,95630470,95635000,95635401,95635403,95635404,95635405,95635410,95635415,95635420,95635425,95635430,95635435,95635438,95635440,95635450,95635455,95635460,95709000,95715000;1903015546;190301001;ГРКЦ НБ РЕСП. ХАКАСИЯ БАНКА РОССИИ;049514001;;40101810200000010001;19020;Межрайонная инспекция Федеральной налоговой службы №3 по Республике Хакасия;,655158, Хакасия Респ,, Черногорск г,, Космонавтов пр-кт, д 1В,,;(39031) 30000;Режим работы: с 8.00 до 17.00, обед с 12.00 до 13.00;19020;Межрайонная инспекция Федеральной налоговой службы №3 по Республике Хакасия;,655158, Хакасия Респ,, Черногорск г,, Космонавтов пр-кт, д 1В,,;(39031) 30000;Режим работы: с 8.00 до 17.00, обед с 12.00 до 13.00
2031;Межрайонная инспекция Федеральной налоговой службы №1 по Чеченской Республике;,364021,Чеченская Респ,,Грозный г,,С.Ш. Лорсанова ул,12,,;8712-627918;Код ОКПО:49482542 Часы работы: с 9-00 до 18-00 обед с13-00 до 14-00;Управление Федерального Казначейства по Чеченской Республике;96701000;2014029532;201401001;ГРКЦ НБ ЧЕЧЕНСКОЙ РЕСПУБЛИКИ БАНКА РОССИИ;049690001;;40101810200001000001;20033;Межрайонная инспекция Федеральной налоговой службы №6 по Чеченской Республике;364021, Чеченская Республика, г.Грозный, ул.Заводская,21;(8712) 295133;;20033;Межрайонная инспекция Федеральной налоговой службы №6 по Чеченской Республике;364021, Чеченская Республика, г.Грозный, ул.Заводская,21;(8712) 295133;
2032;Межрайонная инспекция Федеральной налоговой службы №2 по Чеченской Республике;,366300,Чеченская Респ,Гудермесский р-н,Гудермес г,,Кадырова проспект,д55а,,;87152-23296;Код ОКПО:49483079 Часы работы: с 9-00 до 18-00 обед с13-00 до 14-00;Управление Федерального Казначейства по Чеченской Республике;96610000,96610401,96610402,96610403,96610404,96610406,96610407,96610408,96610409,96610410,96610411,96610413,96610415,96610416,96610417,96610419,96610424,96610425,96610491,96610492,96612000,96612402,96612407,96612419,96612422,96612431,96612434,96612437,96612440,96612446,96612491,96612492,96612493,96612494,96625000,96625402,96625404,96625407,96625408,96625410,96625413,96625414,96625416,96625419,96625422,96625425,96625428,96625431,96625434,96625440,96625443,96625491,96625492,96625493,96625494,96625495,96625496;2014029500;200501001;ГРКЦ НБ ЧЕЧЕНСКОЙ РЕСПУБЛИКИ БАНКА РОССИИ;049690001;;40101810200001000001;20033;Межрайонная инспекция Федеральной налоговой службы №6 по Чеченской Республике;364021, Чеченская Республика, г.Грозный, ул.Заводская,21;(8712) 295133;;20033;Межрайонная инспекция Федеральной налоговой службы №6 по Чеченской Республике;364021, Чеченская Республика, г.Грозный, ул.Заводская,21;(8712) 295133;
2033;Межрайонная инспекция Федеральной налоговой службы №3 по Чеченской Республике;,366813,Чеченская Респ,Урус-Мартановский р-н,,Урус-Мартан с,Н.Усамова ул,д.34б,,;87145-22388;Код ОКПО:49482393 Часы работы: с 9-00 до 18-00 обед с13-00 до 14-00;Управление Федерального Казначейства по Чеченской Республике;96602000,96602402,96602404,96602407,96602410,96602413,96602416,96602419,96602421,96602422,96602425,96602428,96631000,96631404,96631425,96634000,96634101,96634402,96634404,96634407,96634410,96634413,96634416,96634419,96634422,96634428,96634490,96634492;2014029518;201001001;ГРКЦ НБ ЧЕЧЕНСКОЙ РЕСПУБЛИКИ БАНКА РОССИИ;049690001;;40101810200001000001;20033;Межрайонная инспекция Федеральной налоговой службы №6 по Чеченской Республике;364021, Чеченская Республика, г.Грозный, ул.Заводская,21;(8712) 295133;;20033;Межрайонная инспекция Федеральной налоговой службы №6 по Чеченской Республике;364021, Чеченская Республика, г.Грозный, ул.Заводская,21;(8712) 295133;
2034;Межрайонная инспекция Федеральной налоговой службы №4 по Чеченской Республике;,366300,Чеченская Респ,Шалинский р-н,Шали г,,Орджоникидзе пл,41,,;87146-22730;Код ОКПО:77218063 Часы работы: с 9-00 до 18-00 обед с13-00 до 14-00;Управление Федерального Казначейства по Чеченской Республике;96604000,96604402,96604407,96604410,96604413,96604416,96604419,96604422,96604425,96604428,96604431,96604434,96604437,96604440,96604443,96604446,96604449,96604452,96604491,96604494,96607000,96607402,96607404,96607405,96607407,96607410,96607413,96607416,96607419,96607422,96607425,96607426,96607428,96607431,96607434,96607437,96607440,96607443,96607446,96607449,96607455,96607458,96607461,96607491,96607492,96611000,96611406,96611410,96611428,96611438,96611443,96611449,96611455,96611460,96611468,96611470,96611475,96611480,96628000,96628402,96628404,96628405,96628407,96628416,96628419,96628422,96628425,96628431,96628434,96628491,96628492,96628493,96628494,96637000,96637101,96637402,96637403,96637410,96637413,96637416,96637425,96637428,96637437,96691000,96691402,96691403,96691404,96691405,96691406,96691407,96691408,96691409,96691410,96691411,96691421,96701000,96702000;2012001813;201201001;ГРКЦ НБ ЧЕЧЕНСКОЙ РЕСПУБЛИКИ БАНКА РОССИИ;049690001;;40101810200001000001;20033;Межрайонная инспекция Федеральной налоговой службы №6 по Чеченской Республике;364021, Чеченская Республика, г.Грозный, ул.Заводская,21;(8712) 295133;;20033;Межрайонная инспекция Федеральной налоговой службы №6 по Чеченской Республике;364021, Чеченская Республика, г.Грозный, ул.Заводская,21;(8712) 295133;
2035;Межрайонная инспекция Федеральной налоговой службы №5 по Чеченской Республике;,366813,Чеченская Респ,Надтеречный р-н,,Знаменское с,Московская ул,1,,;87132-22604;Код ОКПО:77218583 Часы работы: с 9-00 до 18-00 обед с13-00 до 14-00;Управление Федерального Казначейства по Чеченской Республике;96616000,96616402,96616404,96616407,96616410,96616413,96616416,96616417,96616418,96616419,96616422,96616428,96622000,96622402,96622403,96622404,96622405,96622407,96622409,96622412,96622413,96622416,96622419,96622420,96622422,96622430,96622492,96640000,96640402,96640403,96640405,96640406,96640407,96640408,96640410,96640411,96640413,96640416,96640419,96640420,96640422,96640425,96640427,96640429,96640431,96640434,96640437;2007002963;200701001;ГРКЦ НБ ЧЕЧЕНСКОЙ РЕСПУБЛИКИ БАНКА РОССИИ;049690001;;40101810200001000001;20033;Межрайонная инспекция Федеральной налоговой службы №6 по Чеченской Республике;364021, Чеченская Республика, г.Грозный, ул.Заводская,21;(8712) 295133;;20033;Межрайонная инспекция Федеральной налоговой службы №6 по Чеченской Республике;364021, Чеченская Республика, г.Грозный, ул.Заводская,21;(8712) 295133;
2124;Инспекция Федеральной налоговой службы по г.Новочебоксарску Чувашской Республики;,429955,Чувашская Республика - Чувашия,,Новочебоксарск г,,Солнечная ул,1,,;8352-785586;Код ОКПО:24360536 Дни и часы приема (без перерыва на обед): понедельник, среда, пятница: 8.00 - 17.00, вторник, четверг: 8.00 - 19.00, вторая и четвертая субботы месяца: 09.00-14.00, остальные субботы, воскресенье: выходные дни.;Управление Федерального казначейства по Чувашской Республике;97710000;2124010326;212401001;Отделение-НБ Чувашская Республика;049706001;;40101810900000010005;21030;Инспекция Федеральной налоговой службы по г.Новочебоксарску Чувашской Республики;428901, Чувашская Республика, г.Новочебоксарск, ул.Солнечная, 1;(8352) 78-11-00, 78-54-13;Режим работы: с 8-00 до 17-00 перерыв с 12-00 до 13-00 выходные: суббота, воскресенье;21030;Инспекция Федеральной налоговой службы по г.Новочебоксарску Чувашской Республики;428901, Чувашская Республика, г.Новочебоксарск, ул.Солнечная, 1;(8352) 78-11-00, 78-54-13;Режим работы: с 8-00 до 17-00 перерыв с 12-00 до 13-00 выходные: суббота, воскресенье
2130;Инспекция Федеральной налоговой службы по г.Чебоксары;,428032,,,Чебоксары г,,Базарная ул,40,,;8352-620499, 8352-620151;Код ОКПО:94075263 Дни и часы приема: понедельник,среда,пятница: 8.00-17.00, вторник,четверг: 8.00-19.00, 2-я и 4-я субботы месяца: 09.00-14.00. Прием заявлений и выдача свидетельств ИНН производится по адресу: г.Чебоксары, ул.П.Лумумбы,8.;Управление Федерального казначейства по Чувашской Республике;97701000;2130000012;213001001;Отделение-НБ Чувашская Республика;049706001;;40101810900000010005;21183;Инспекция Федеральной налоговой службы по г. Чебоксары;,428032,,, Чебоксары г,, Базарная ул, д 40,,;(8352) 63-05-04, 63-44-20;;21183;Инспекция Федеральной налоговой службы по г. Чебоксары;,428032,,, Чебоксары г,, Базарная ул, д 40,,;(8352) 63-05-04, 63-44-20;
2131;Межрайонная инспекция Федеральной налоговой службы № 1 по Чувашской Республике;,429820,Чувашская Республика - Чувашия,,Алатырь г,,Гончарова ул,36,,;83531-25254;Код ОКПО:03179146 Дни и часы приема (без перерыва на обед): понедельник, среда, пятница: 8.00 - 17.00, вторник, четверг: 8.00 - 19.00, вторая и четвертая субботы месяца: 09.00-14.00, остальные субботы, воскресенье: выходные дни.;Управление Федерального казначейства по Чувашской Республике;97603405,97603410,97603415,97603420,97603430,97603438,97603440,97603445,97603450,97603455,97603458,97603460,97603465,97603475,97603480,97603490,97704000;2122004101;212201001;Отделение-НБ Чувашская Республика;049706001;;40101810900000010005;21059;Межрайонная инспекция Федеральной налоговой службы № 1 по Чувашской Республике;,429826, Чувашская Республика - Чувашия,, Алатырь г,, Гончарова ул, д 36,,;(83531) 2-09-12, 2-52-54;Режим работы: с 8-00 до 17-00 перерыв с 12-00 до 13-00 выходные: суббота, воскресенье;21059;Межрайонная инспекция Федеральной налоговой службы № 1 по Чувашской Республике;,429826, Чувашская Республика - Чувашия,, Алатырь г,, Гончарова ул, д 36,,;(83531) 2-09-12, 2-52-54;Режим работы: с 8-00 до 17-00 перерыв с 12-00 до 13-00 выходные: суббота, воскресенье
2132;Межрайонная инспекция Федеральной налоговой службы № 2 по Чувашской Республике;,429140,Чувашская Республика - Чувашия,,,Комсомольское с,Пришкольный пер,5/2,,;83539-52106;Код ОКПО:03509253 Дни и часы приема (без перерыва на обед): понедельник, среда, пятница: 8.00 - 17.00, вторник, четверг: 8.00 - 19.00, вторая и четвертая субботы месяца: 09.00-14.00, остальные субботы, воскресенье: выходные дни.;Управление Федерального казначейства по Чувашской Республике;97607000,97607402,97607405,97607410,97607415,97607420,97607425,97607430,97607435,97607440,97607445,97607450,97607452,97607455,97607460,97607465,97607470,97607472,97607475,97607480,97621405,97621410,97621415,97621420,97621425,97621440,97621445,97621449,97621452,97621455,97621460,97621465,97647410,97647417,97647422,97647428,97647442,97647448,97647455,97647460,97647464,97655405,97655410,97655415,97655420,97655425,97655430,97655435,97655440,97655445;2103004748;210801001;Отделение-НБ Чувашская Республика;049706001;;40101810900000010005;21060;Межрайонная инспекция Федеральной налоговой службы № 2 по Чувашской Республике;,429140, Чувашская Республика - Чувашия,,, Комсомольское с, Пришкольный пер, д 5/2,,;(83532) 5-14-56, 5-21-06;Режим работы: с 8-00 до 17-00 перерыв с 12-00 до 13-00 выходные: суббота, воскресенье;21060;Межрайонная инспекция Федеральной налоговой службы № 2 по Чувашской Республике;,429140, Чувашская Республика - Чувашия,,, Комсомольское с, Пришкольный пер, д 5/2,,;(83532) 5-14-56, 5-21-06;Режим работы: с 8-00 до 17-00 перерыв с 12-00 до 13-00 выходные: суббота, воскресенье
2133;Межрайонная инспекция Федеральной налоговой службы № 3 по Чувашской Республике;,429220,Чувашская Республика - Чувашия,,,Вурнары пгт,Карла Маркса ул,4-в,,;83537-27147;Код ОКПО:05139665 Дни и часы приема (без перерыва на обед): понедельник, среда, пятница: 8.00 - 17.00, вторник, четверг: 8.00 - 19.00, вторая и четвертая субботы месяца: 09.00-14.00, остальные субботы, воскресенье: выходные дни.;Управление Федерального казначейства по Чувашской Республике;97605000,97605405,97605415,97605420,97605425,97605435,97605450,97605455,97605465,97605470,97605475,97605485,97605490,97610000,97610151,97610404,97610408,97610412,97610416,97610420,97610424,97610428,97610432,97610436,97610440,97610444,97610452,97610460,97610468,97610472,97610478,97610480,97610484,97613000,97613151,97613405,97613410,97613415,97613420,97613423,97613425,97613430,97613435,97613440,97613445,97613450,97613455;2104005053;210401001;Отделение-НБ Чувашская Республика;049706001;;40101810900000010005;21061;Межрайонная инспекция Федеральной налоговой службы № 3 по Чувашской Республике;429220, Чувашская Республика, Вурнарский район, п. Вурнары, ул. К.Маркса, 4в;(83537) 2-59-52, 2-71-47;Режим работы: с 8-00 до 17-00 перерыв с 12-00 до 13-00 выходные: суббота, воскресенье;21061;Межрайонная инспекция Федеральной налоговой службы № 3 по Чувашской Республике;429220, Чувашская Республика, Вурнарский район, п. Вурнары, ул. К.Маркса, 4в;(83537) 2-59-52, 2-71-47;Режим работы: с 8-00 до 17-00 перерыв с 12-00 до 13-00 выходные: суббота, воскресенье
2134;Межрайонная инспекция Федеральной налоговой службы № 4 по Чувашской Республике;,429330,Чувашская Республика - Чувашия,,Канаш г,,30 лет Победы ул,92,,;83533-23932;Код ОКПО:13097188 Дни и часы приема (без перерыва на обед): Понедельник, среда, пятница: 8.00 - 17.00, вторник, четверг: 8.00 - 19.00, вторая и четвертая субботы месяца: 09.00-14.00, остальные субботы, воскресенье: выходные дни.;Управление Федерального казначейства по Чувашской Республике;97616000,97616404,97616406,97616408,97616412,97616416,97616419,97616420,97616424,97616428,97616432,97616436,97616440,97616444,97616448,97616456,97616460,97616462,97616464,97616468,97616472,97616474,97616476,97616484,97616488,97658000,97658405,97658410,97658415,97658420,97658425,97658430,97658435,97658440,97658445,97658450,97707000;2123005309;212301001;Отделение-НБ Чувашская Республика;049706001;;40101810900000010005;21062;Межрайонная инспекция Федеральной налоговой службы № 4 по Чувашской Республике;429330,Чувашская Республика, г.Канаш, ул. 30 лет Победы, д. 92;(83533) 2-26-87, 2-31-88;Режим работы: с 8-00 до 17-00 перерыв с 12-00 до 13-00 выходные: суббота, воскресенье;21062;Межрайонная инспекция Федеральной налоговой службы № 4 по Чувашской Республике;429330,Чувашская Республика, г.Канаш, ул. 30 лет Победы, д. 92;(83533) 2-26-87, 2-31-88;Режим работы: с 8-00 до 17-00 перерыв с 12-00 до 13-00 выходные: суббота, воскресенье
2135;Межрайонная инспекция Федеральной налоговой службы № 5 по Чувашской Республике;,429500,Чувашская Республика - Чувашия,,,Кугеси рп,Советская ул,32,,;83540-24845;Код ОКПО:01314605 Дни и часы приема (без перерыва на обед): Понедельник, среда, пятница: 8.00 - 17.00, вторник, четверг: 8.00 - 19.00, вторая и четвертая субботы месяца: 09.00-14.00, остальные субботы, воскресенье: выходные дни.;Управление Федерального казначейства по Чувашской Республике;97629000,97629101,97629410,97629415,97629420,97629425,97629430,97629435,97629440,97629445,97629450,97629460,97629465,97644000,97644404,97644408,97644416,97644420,97644428,97644432,97644440,97644442,97644444,97644448,97644452,97644454,97644456,97644460,97644482,97644484,97644488,97701000;2116810181;211601001;Отделение-НБ Чувашская Республика;049706001;;40101810900000010005;21063;Межрайонная инспекция Федеральной налоговой службы № 5 по Чувашской Республике;429500, Чувашская Республика, Чебоксарский район, п. Кугеси, ул. Советская, 32;(8352) 66-21-62, (83540) 2-11-41;Режим работы: с 8-00 до 17-00 перерыв с 12-00 до 13-00 выходные: суббота, воскресенье;21063;Межрайонная инспекция Федеральной налоговой службы № 5 по Чувашской Республике;429500, Чувашская Республика, Чебоксарский район, п. Кугеси, ул. Советская, 32;(8352) 66-21-62, (83540) 2-11-41;Режим работы: с 8-00 до 17-00 перерыв с 12-00 до 13-00 выходные: суббота, воскресенье
2137;Межрайонная инспекция Федеральной налоговой службы № 7 по Чувашской Республике;,429900,Чувашская Республика - Чувашия,,Цивильск г,,Терешковой ул,5а,,;83545-21698;Код ОКПО:01960162 Дни и часы приема (без перерыва на обед): Понедельник, среда, пятница: 8.00 - 17.00, вторник, четверг: 8.00 - 19.00, вторая и четвертая субботы месяца: 09.00-14.00, остальные субботы, воскресенье: выходные дни.;Управление Федерального казначейства по Чувашской Республике;97619000,97619101,97619405,97619410,97619415,97619425,97619430,97619435,97619443,97619445,97619450,97624405,97624410,97624420,97624425,97624430,97624434,97624440,97624445,97624460,97638151,97638405,97638408,97638410,97638415,97638425,97638430,97638432,97638435,97638440,97638445,97638450,97638455,97638460,97638462,97638465,97641101,97641404,97641408,97641412,97641420,97641424,97641432,97641434,97641437,97641440,97641444,97641448,97641452,97641464,97641468,97641475,97641480;2115177777;211501001;Отделение-НБ Чувашская Республика;049706001;;40101810900000010005;21065;Межрайонная инспекция Федеральной налоговой службы № 7 по Чувашской Республике;,429901, Чувашская Респ,, Цивильск г,, Терешковой ул, д 5а,,;(83545) 2-25-18, 2-45-45;Режим работы: с 8-00 до 17-00 перерыв с 12-00 до 13-00 выходные: суббота, воскресенье;21065;Межрайонная инспекция Федеральной налоговой службы № 7 по Чувашской Республике;,429901, Чувашская Респ,, Цивильск г,, Терешковой ул, д 5а,,;(83545) 2-25-18, 2-45-45;Режим работы: с 8-00 до 17-00 перерыв с 12-00 до 13-00 выходные: суббота, воскресенье
2138;Межрайонная инспекция Федеральной налоговой службы № 8 по Чувашской Республике;,429122,Чувашская Республика - Чувашия,,Шумерля г,,Октябрьская ул,20а,,;83536-22742;Код ОКПО:03508940 Дни и часы приема (без перерыва на обед): понедельник, среда, пятница: 8.00 - 17.00, вторник, четверг: 8.00 - 19.00, вторая и четвертая субботы месяца: 09.00-14.00, остальные субботы, воскресенье: выходные дни.;Управление Федерального казначейства по Чувашской Республике;97626000,97626405,97626415,97626418,97626425,97626430,97626435,97626440,97626445,97626450,97626455,97632000,97632410,97632420,97632425,97632430,97632435,97632440,97632445,97632455,97632460,97632463,97632465,97632470,97632480,97632485,97632488,97632490,97635405,97635420,97635425,97635430,97635435,97635440,97635445,97635455,97635465,97635470,97635480,97635485,97650405,97650410,97650415,97650420,97650430,97650440,97650445,97650450,97650455,97650460,97650465,97653101,97653410,97653415,97653420,97653425,97653435,97653440,97653445,97653448,97653450,97653455,97653460,97653465,97653470,97653475,97653480,97653485,97653490,97713000;2125004420;212501001;Отделение-НБ Чувашская Республика;049706001;;40101810900000010005;21066;Межрайонная инспекция Федеральной налоговой службы № 8 по Чувашской Республике;,429122, Чувашская Республика - Чувашия,, Шумерля г,, Октябрьская ул, д 20а,,;(83536) 5-33-43, 5-36-55;Режим работы: с 8-00 до 17-00 перерыв с 12-00 до 13-00 выходные: суббота, воскресенье;21066;Межрайонная инспекция Федеральной налоговой службы № 8 по Чувашской Республике;,429122, Чувашская Республика - Чувашия,, Шумерля г,, Октябрьская ул, д 20а,,;(83536) 5-33-43, 5-36-55;Режим работы: с 8-00 до 17-00 перерыв с 12-00 до 13-00 выходные: суббота, воскресенье
2201;Межрайонная инспекция Федеральной налоговой службы № 10 по Алтайскому краю;,658130,Алтайский край,,Алейск г,,В.Олешко ул,57,,;8-800-222-2222 - Контакт-центр, (38553) 2-30-84 - телефон довери;Код ОКПО: 75997531. Прием налогоплательщиков: пн-чт 8.00-17.00, пт 8.00-15.45, выходные сб, вс;УПРАВЛЕНИЕ ФЕДЕРАЛЬНОГО КАЗНАЧЕЙСТВА ПО АЛТАЙСКОМУ КРАЮ;01601000,01601402,01601408,01601413,01601417,01601420,01601423,01601426,01601432,01601438,01601440,01601460,01601464,01601468,01601473,01601475,01601477,01601485,01601496,01601498,01615000,01615409,01615414,01615425,01615427,01615435,01615450,01615457,01615468,01615480,01615485,01628000,01628411,01628422,01628433,01628444,01628455,01628466,01628477,01634000,01634408,01634422,01634433,01634439,01634445,01634450,01634467,01634478,01634482,01634489,01634495,01649000,01649403,01649407,01649409,01649412,01649420,01649424,01649436,01649447,01649450,01649452,01649454,01649460,01649462,01649469,01649475,01649480,01649491,01654000,01654408,01654411,01654422,01654433,01654444,01654446,01654448,01654455,01654466,01655000,01655408,01655411,01655419,01655423,01655434,01655440,01655443,01655446,01655457,01655460,01655470,01655480,01655491,01658000,01658411,01658420,01658422,01658433,01658444,01658455,01658466,01658477,01658488,01659000,01659409,01659413,01659420,01659426,01659430,01659435,01659439,01659442,01659446,01659452,01659462,01659465,01659470,01659474,01659478,01659480,01659485,01659490,01659495,01703000;2201006704;220101001;Отделение Барнаул г. Барнаул;040173001;;40101810100000010001;22093;Межрайонная инспекция Федеральной налоговой службы России № 15 по Алтайскому краю;,656068,,, Барнаул г,, Социалистический пр-кт, д 47,,;(3852) 65-95-60, 29-76-80, 65-95-91;Режим работы: понедельник, среда 8:00-17:00, вторник, четверг 8:00-19:00, пятница 8:00-15:45. Для физических лиц дополнительно 1-я и 3-я субботы месяца 10:00-15:00;22093;Межрайонная инспекция Федеральной налоговой службы России № 15 по Алтайскому краю;,656068,,, Барнаул г,, Социалистический пр-кт, д 47,,;(3852) 65-95-60, 29-76-80, 65-95-91;Режим работы: понедельник, среда 8:00-17:00, вторник, четверг 8:00-19:00, пятница 8:00-15:45. Для физических лиц дополнительно 1-я и 3-я субботы месяца 10:00-15:00
2204;Межрайонная инспекция Федеральной налоговой службы № 1 по Алтайскому краю;,659305,Алтайский край,,Бийск г,,Мартьянова пер,59/1,,;8-800-222-2222 - Контакт-центр, (3854) 34-42-00 - телефон довери;Код ОКПО: 75999317. Прием налогоплательщиков (осуществляется по адресу Бийск г., Гилева ул.,5): пн, ср 8.00-17.00, вт, чт 8.00-19.00, пт 8.00-15.45. 1-я и 3-я субботы месяца 10.00-15.00, выходной вс;УПРАВЛЕНИЕ ФЕДЕРАЛЬНОГО КАЗНАЧЕЙСТВА ПО АЛТАЙСКОМУ КРАЮ;01602000,01602405,01602407,01602412,01602423,01602427,01602435,01602446,01602457,01602468,01602479,01604000,01604410,01604415,01604417,01604422,01604424,01604434,01604437,01604455,01604459,01604464,01604470,01604480,01604483,01604488,01604495,01607000,01607403,01607405,01607411,01607422,01607433,01607437,01607444,01607455,01610000,01610411,01610422,01610433,01610444,01610466,01610488,01619000,01619405,01619407,01619423,01619445,01619447,01619456,01619478,01619489,01629000,01629412,01629426,01629442,01629466,01629470,01629474,01629480,01629493,01629496,01633000,01633405,01633407,01633414,01633423,01633434,01633440,01633446,01633457,01633479,01640000,01640405,01640412,01640423,01640434,01640445,01640456,01640460,01640466,01640479,01642000,01642411,01642415,01642420,01642429,01642435,01642440,01642447,01642452,01642457,01642466,01642471,01642472,01643000,01643407,01643423,01643434,01643445,01643450,01643457,01643470,01643481,01644000,01644424,01644436,01644447,01644450,01644481,01644492,01657000,01657407,01657412,01657415,01657420,01657430,01657434,01657445,01657464,01657468,01657473,01657479,01657490,01704000,01705000;2204019780;220401001;Отделение Барнаул г. Барнаул;040173001;;40101810100000010001;22093;Межрайонная инспекция Федеральной налоговой службы России № 15 по Алтайскому краю;,656068,,, Барнаул г,, Социалистический пр-кт, д 47,,;(3852) 65-95-60, 29-76-80, 65-95-91;Режим работы: понедельник, среда 8:00-17:00, вторник, четверг 8:00-19:00, пятница 8:00-15:45. Для физических лиц дополнительно 1-я и 3-я субботы месяца 10:00-15:00;22093;Межрайонная инспекция Федеральной налоговой службы России № 15 по Алтайскому краю;,656068,,, Барнаул г,, Социалистический пр-кт, д 47,,;(3852) 65-95-60, 29-76-80, 65-95-91;Режим работы: понедельник, среда 8:00-17:00, вторник, четверг 8:00-19:00, пятница 8:00-15:45. Для физических лиц дополнительно 1-я и 3-я субботы месяца 10:00-15:00
2207;Межрайонная инспекция Федеральной налоговой службы № 6 по Алтайскому краю;,658710,Алтайский край,,Камень-на-Оби г,,Красноармейская ул,50,,;8-800-222-2222 - Контакт-центр, (38584) 2-12-01 - телефон довери;Код ОКПО: 75999292. Прием налогоплательщиков: пн-чт 8.00-17.00, пт 8.00-15.45, выходные сб, вс;УПРАВЛЕНИЕ ФЕДЕРАЛЬНОГО КАЗНАЧЕЙСТВА ПО АЛТАЙСКОМУ КРАЮ;01603000,01603407,01603416,01603419,01603434,01603437,01603455,01603458,01603469,01603480,01616000,01616404,01616413,01616417,01616437,01616461,01616468,01616473,01616475,01616482,01616486,01616490,01616494,01616497,01621000,01621406,01621412,01621418,01621424,01621430,01621436,01621442,01621446,01621448,01631000,01631411,01631417,01631422,01631433,01631444,01631456,01631467,01631478,01631489,01656000,01656412,01656420,01656430,01656435,01656446,01656460,01656480,01656486,01656490,01656493,01710000;2207006411;220701001;Отделение Барнаул г. Барнаул;040173001;;40101810100000010001;22093;Межрайонная инспекция Федеральной налоговой службы России № 15 по Алтайскому краю;,656068,,, Барнаул г,, Социалистический пр-кт, д 47,,;(3852) 65-95-60, 29-76-80, 65-95-91;Режим работы: понедельник, среда 8:00-17:00, вторник, четверг 8:00-19:00, пятница 8:00-15:45. Для физических лиц дополнительно 1-я и 3-я субботы месяца 10:00-15:00;22093;Межрайонная инспекция Федеральной налоговой службы России № 15 по Алтайскому краю;,656068,,, Барнаул г,, Социалистический пр-кт, д 47,,;(3852) 65-95-60, 29-76-80, 65-95-91;Режим работы: понедельник, среда 8:00-17:00, вторник, четверг 8:00-19:00, пятница 8:00-15:45. Для физических лиц дополнительно 1-я и 3-я субботы месяца 10:00-15:00
2208;Межрайонная инспекция Федеральной налоговой службы № 4 по Алтайскому краю;,658087,Алтайский край,,Новоалтайск г,,22 Партсъезда ул,12,,;8-800-222-2222 - Контакт-центр, (38532) 4-89-61 - телефон довери;Код ОКПО: 75997560. Прием налогоплательщиков (осуществляется по адресу Новоалтайск г., Анатолия ул.,7): пн-чт 8.00-17.00, пт 8.00-15.45, выходные сб, вс;УПРАВЛЕНИЕ ФЕДЕРАЛЬНОГО КАЗНАЧЕЙСТВА ПО АЛТАЙСКОМУ КРАЮ;01612000,01612409,01612412,01612422,01612426,01612437,01612459,01612470,01612481,01612492,01613000,01613406,01613420,01613425,01613428,01613430,01613434,01613436,01613438,01613450,01613460,01613461,01613464,01613468,01613474,01613478,01613487,01613488,01613492,01613494,01613496,01618406,01618414,01618420,01618425,01618430,01618434,01618440,01618449,01618460,01618466,01618468,01624000,01624407,01624423,01624434,01624446,01624457,01624469,01624480,01624491,01624493,01624494,01632000,01632406,01632412,01632416,01632420,01632422,01632425,01632430,01632434,01632442,01632445,01632449,01632454,01632461,01632472,01632483,01632494,01632496,01632497,01647151,01647406,01647415,01647424,01647430,01647436,01647442,01647448,01647451,01647456,01647459,01647462,01647466,01647470,01647473,01647475,01647482,01647492,01648000,01648406,01648430,01648436,01648446,01648457,01651000,01651408,01651410,01651414,01651425,01651430,01651434,01651440,01651454,01651457,01651470,01651492,01706000,01713000,01755000;2208012087;220801001;Отделение Барнаул г. Барнаул;040173001;;40101810100000010001;22093;Межрайонная инспекция Федеральной налоговой службы России № 15 по Алтайскому краю;,656068,,, Барнаул г,, Социалистический пр-кт, д 47,,;(3852) 65-95-60, 29-76-80, 65-95-91;Режим работы: понедельник, среда 8:00-17:00, вторник, четверг 8:00-19:00, пятница 8:00-15:45. Для физических лиц дополнительно 1-я и 3-я субботы месяца 10:00-15:00;22093;Межрайонная инспекция Федеральной налоговой службы России № 15 по Алтайскому краю;,656068,,, Барнаул г,, Социалистический пр-кт, д 47,,;(3852) 65-95-60, 29-76-80, 65-95-91;Режим работы: понедельник, среда 8:00-17:00, вторник, четверг 8:00-19:00, пятница 8:00-15:45. Для физических лиц дополнительно 1-я и 3-я субботы месяца 10:00-15:00
